"ID";"age";"balance";"previous";"job";"marital";"education";"housing";"loan";"poutcome";"y"
31;45;1415;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
32;40;5766;1;"employed";"divorced";"secondary";"yes";"yes";"failure";"no"
33;30;101;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
34;36;5057;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
35;34;1265;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
36;48;8106;2;"employed";"single";"tertiary";"no";"no";"failure";"no"
37;59;0;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
38;53;1364;1;"employed";"married";"secondary";"no";"no";"failure";"no"
39;46;46;1;"employed";"single";"tertiary";"no";"yes";"failure";"no"
40;52;5423;1;"unemployed";"married";"secondary";"no";"yes";"failure";"no"
41;58;8332;2;"unemployed";"married";"secondary";"no";"no";"failure";"no"
42;56;689;2;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
43;34;0;2;"unemployed";"single";"secondary";"yes";"no";"failure";"no"
44;32;4344;2;"unemployed";"single";"secondary";"yes";"no";"failure";"no"
45;54;472;1;"employed";"married";"secondary";"yes";"yes";"failure";"no"
46;59;252;2;"employed";"married";"primary";"yes";"yes";"failure";"no"
47;40;0;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
48;45;4425;2;"employed";"married";"secondary";"no";"no";"failure";"no"
49;43;-36;1;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
50;43;0;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
51;55;1730;2;"unemployed";"divorced";"tertiary";"no";"no";"failure";"no"
52;49;202;1;"employed";"married";"secondary";"yes";"no";"failure";"yes"
53;49;313;2;"unemployed";"married";"tertiary";"yes";"no";"failure";"no"
54;39;419;1;"employed";"single";"primary";"yes";"no";"failure";"no"
55;42;14282;2;"employed";"married";"tertiary";"yes";"no";"success";"no"
56;42;1048;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
57;41;112;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
58;51;563;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
59;36;1797;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
60;52;3440;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
61;42;373;2;"unemployed";"married";"tertiary";"no";"no";"failure";"no"
62;45;2020;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
63;35;24;1;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
64;38;425;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
65;47;80;1;"employed";"married";"secondary";"no";"yes";"failure";"no"
66;43;634;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
67;50;830;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
68;54;2719;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
69;44;0;2;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
70;51;248;2;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
71;51;12061;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
72;42;-15;1;"employed";"single";"secondary";"no";"no";"failure";"no"
73;46;0;2;"employed";"divorced";"secondary";"no";"no";"success";"no"
74;50;4;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
75;44;1451;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
76;41;557;1;"unemployed";"married";"primary";"yes";"no";"failure";"no"
77;37;600;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
78;53;350;2;"unemployed";"married";"secondary";"no";"yes";"failure";"no"
79;53;248;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
80;52;1818;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
81;36;3837;1;"employed";"divorced";"tertiary";"yes";"no";"success";"no"
82;37;0;1;"unemployed";"married";"tertiary";"yes";"no";"failure";"no"
83;44;58;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
84;32;0;2;"unemployed";"married";"secondary";"yes";"yes";"failure";"no"
85;41;20;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
86;37;-954;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
87;43;0;2;"employed";"married";"primary";"no";"yes";"failure";"no"
88;51;230;1;"employed";"married";"primary";"yes";"no";"failure";"no"
89;56;505;2;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
90;38;821;1;"employed";"married";"secondary";"yes";"yes";"failure";"no"
91;42;275;2;"employed";"married";"primary";"no";"no";"failure";"no"
92;34;1049;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
93;51;1414;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
94;38;0;2;"employed";"married";"primary";"yes";"no";"failure";"no"
95;38;11971;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
96;53;2269;1;"unemployed";"married";"tertiary";"no";"no";"success";"yes"
97;41;271;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
98;48;-478;2;"employed";"divorced";"tertiary";"yes";"no";"failure";"no"
99;54;3795;1;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
100;55;653;1;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
101;38;1255;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
102;50;-403;2;"employed";"divorced";"secondary";"no";"yes";"failure";"no"
103;42;2636;1;"unemployed";"married";"primary";"no";"no";"failure";"no"
104;40;1029;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
105;57;1502;2;"employed";"married";"secondary";"no";"no";"failure";"no"
106;30;426;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
107;56;237;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
108;39;8;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
109;43;1043;2;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
110;42;1027;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
111;44;724;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
112;36;0;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
113;40;219;1;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
114;43;2767;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
115;40;1269;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
116;56;1150;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
117;37;5115;2;"employed";"married";"secondary";"yes";"no";"failure";"yes"
118;56;1092;2;"employed";"single";"tertiary";"yes";"yes";"failure";"no"
119;37;121;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
120;58;644;2;"employed";"divorced";"secondary";"no";"yes";"failure";"no"
121;45;781;2;"unemployed";"married";"secondary";"no";"yes";"failure";"yes"
122;50;0;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
123;44;106;1;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
124;40;755;1;"employed";"married";"secondary";"no";"no";"failure";"no"
125;43;1201;2;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
126;40;3059;1;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
127;36;4324;2;"employed";"married";"primary";"yes";"no";"failure";"no"
128;44;756;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
129;37;723;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
130;37;195;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
131;42;2249;2;"unemployed";"married";"tertiary";"yes";"no";"failure";"no"
132;53;137;1;"employed";"married";"secondary";"no";"yes";"failure";"no"
133;44;10888;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
134;41;4320;2;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
135;41;1461;2;"employed";"married";"primary";"yes";"no";"success";"no"
136;48;4415;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
137;56;589;2;"employed";"married";"secondary";"yes";"no";"success";"no"
138;42;-247;2;"unemployed";"single";"secondary";"yes";"yes";"success";"no"
139;37;0;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
140;35;5260;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
141;33;1769;1;"employed";"single";"secondary";"yes";"no";"failure";"no"
142;46;4301;2;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
143;46;68;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
144;36;454;1;"unemployed";"divorced";"secondary";"yes";"no";"failure";"no"
145;32;53;1;"employed";"single";"secondary";"yes";"no";"failure";"no"
146;38;1515;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
147;37;561;2;"employed";"single";"tertiary";"no";"no";"failure";"no"
148;59;2429;2;"unemployed";"married";"secondary";"no";"yes";"failure";"no"
149;40;1155;1;"employed";"divorced";"secondary";"no";"yes";"failure";"no"
150;59;14;1;"employed";"married";"primary";"yes";"yes";"failure";"no"
151;36;0;2;"employed";"single";"tertiary";"no";"yes";"failure";"no"
152;51;1194;2;"employed";"married";"primary";"yes";"no";"failure";"no"
153;45;91;2;"employed";"single";"secondary";"no";"yes";"failure";"no"
154;38;427;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
155;42;1958;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
156;30;3;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
157;51;146;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
158;37;3770;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
159;41;446;1;"employed";"married";"secondary";"yes";"no";"success";"no"
160;30;4787;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
161;36;1345;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
162;58;0;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
163;42;2273;2;"employed";"married";"primary";"yes";"no";"failure";"no"
164;41;1100;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
165;43;764;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
166;48;2877;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
167;30;-305;2;"employed";"single";"secondary";"no";"yes";"failure";"no"
168;43;685;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
169;34;10;2;"unemployed";"single";"secondary";"no";"yes";"failure";"no"
170;44;1880;2;"employed";"married";"primary";"yes";"no";"failure";"no"
171;36;0;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
172;33;596;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
173;47;829;1;"unemployed";"married";"secondary";"yes";"yes";"failure";"no"
174;47;3237;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
175;35;222;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
176;39;3732;2;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
177;39;585;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
178;31;2038;1;"employed";"single";"secondary";"yes";"no";"failure";"no"
179;37;1316;2;"unemployed";"single";"tertiary";"yes";"no";"failure";"no"
180;50;-353;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
181;39;5009;2;"employed";"divorced";"tertiary";"yes";"no";"failure";"no"
182;56;0;2;"unemployed";"divorced";"secondary";"no";"no";"failure";"no"
183;30;83;1;"unemployed";"divorced";"secondary";"yes";"yes";"failure";"no"
184;45;147;2;"employed";"married";"primary";"yes";"no";"failure";"no"
185;33;157;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
186;45;3395;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
187;37;690;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
188;37;54;1;"employed";"single";"secondary";"yes";"no";"failure";"no"
189;40;326;1;"employed";"single";"secondary";"yes";"no";"failure";"no"
190;38;-288;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
191;41;2123;2;"employed";"married";"secondary";"no";"no";"failure";"no"
192;44;1901;2;"employed";"married";"secondary";"no";"no";"failure";"no"
193;41;1954;2;"employed";"married";"secondary";"no";"no";"success";"no"
194;45;16;2;"employed";"single";"tertiary";"no";"no";"failure";"no"
195;45;1678;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
196;34;5754;1;"employed";"divorced";"tertiary";"yes";"no";"failure";"no"
197;52;2717;2;"unemployed";"divorced";"secondary";"no";"no";"failure";"no"
198;43;103;2;"unemployed";"single";"primary";"yes";"no";"failure";"no"
199;37;5427;1;"employed";"married";"primary";"no";"no";"failure";"no"
200;37;1743;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
201;48;1092;2;"employed";"married";"primary";"no";"yes";"failure";"no"
202;35;4943;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
203;42;2110;2;"employed";"married";"tertiary";"no";"yes";"failure";"no"
204;34;63;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
205;32;118;1;"employed";"single";"secondary";"yes";"no";"success";"no"
206;50;21;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
207;30;900;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
208;55;3546;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
209;32;1667;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
210;32;2251;1;"employed";"single";"secondary";"yes";"yes";"failure";"no"
211;44;533;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
212;36;2894;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
213;34;11;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
214;32;3107;1;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
215;48;3008;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
216;48;648;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
217;39;173;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
218;47;19;1;"unemployed";"single";"secondary";"yes";"yes";"failure";"no"
219;52;297;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
220;59;797;2;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
221;38;678;1;"unemployed";"married";"tertiary";"no";"yes";"failure";"no"
222;54;506;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
223;51;-516;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
224;47;1533;2;"employed";"married";"primary";"no";"yes";"failure";"no"
225;34;500;1;"employed";"married";"primary";"yes";"no";"failure";"no"
226;30;246;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
227;43;-56;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
228;52;2257;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
229;36;402;1;"employed";"married";"secondary";"no";"yes";"failure";"no"
230;39;517;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
231;45;5694;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
232;54;368;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
233;36;296;2;"unemployed";"single";"secondary";"no";"no";"failure";"no"
234;38;508;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
235;44;2626;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
236;59;124;2;"unemployed";"married";"primary";"yes";"no";"failure";"no"
237;40;2854;1;"unemployed";"single";"secondary";"yes";"no";"failure";"no"
238;30;0;2;"employed";"divorced";"secondary";"yes";"yes";"failure";"no"
239;42;1113;2;"employed";"single";"tertiary";"yes";"yes";"failure";"no"
240;33;1522;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
241;44;-236;2;"employed";"married";"secondary";"yes";"no";"success";"no"
242;36;3560;2;"employed";"single";"tertiary";"no";"no";"failure";"no"
243;42;898;1;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
244;36;556;1;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
245;53;1066;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
246;52;5350;2;"employed";"married";"tertiary";"yes";"yes";"success";"no"
247;40;7313;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
248;30;0;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
249;45;1550;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
250;38;4392;2;"employed";"married";"secondary";"no";"no";"failure";"no"
251;33;328;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
252;51;1612;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
253;33;17455;2;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
254;32;491;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
255;32;3839;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
256;40;9916;1;"employed";"single";"secondary";"no";"no";"failure";"no"
257;56;728;2;"unemployed";"married";"secondary";"no";"no";"failure";"no"
258;32;6217;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
259;41;1327;2;"unemployed";"married";"secondary";"yes";"yes";"failure";"no"
260;36;-179;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
261;46;942;2;"employed";"married";"secondary";"no";"no";"failure";"no"
262;34;3990;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
263;34;2047;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
264;30;1185;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
265;30;2802;2;"unemployed";"single";"secondary";"no";"yes";"failure";"no"
266;43;508;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
267;51;6030;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
268;45;-14;2;"employed";"divorced";"secondary";"no";"no";"failure";"no"
269;46;6269;2;"employed";"divorced";"tertiary";"yes";"no";"failure";"no"
270;30;1131;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
271;40;399;2;"unemployed";"divorced";"secondary";"yes";"yes";"failure";"no"
272;46;864;2;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
273;31;3142;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
274;53;1139;2;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
275;48;214;1;"employed";"married";"primary";"yes";"yes";"failure";"no"
276;34;1412;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
277;35;2019;1;"employed";"married";"secondary";"yes";"yes";"failure";"no"
278;31;1164;2;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
279;36;369;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
280;45;17;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
281;31;355;1;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
282;51;106;2;"employed";"married";"primary";"yes";"no";"failure";"no"
283;30;-306;1;"employed";"married";"secondary";"yes";"yes";"failure";"no"
284;44;1106;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
285;41;171;2;"unemployed";"married";"tertiary";"yes";"no";"failure";"no"
286;58;8014;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
287;55;4053;2;"employed";"divorced";"secondary";"no";"no";"failure";"no"
288;32;1583;1;"unemployed";"single";"tertiary";"yes";"no";"failure";"no"
289;42;412;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
290;30;314;2;"employed";"married";"tertiary";"no";"no";"success";"no"
291;37;7957;2;"employed";"married";"secondary";"no";"no";"failure";"no"
292;32;1156;1;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
293;39;1682;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
294;31;3625;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
295;32;1721;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
296;45;38;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
297;33;541;1;"employed";"single";"tertiary";"yes";"yes";"failure";"no"
298;30;54;2;"employed";"single";"tertiary";"yes";"yes";"failure";"no"
299;31;4924;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
300;54;6525;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
301;33;3696;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
302;48;1811;2;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
303;33;0;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
304;32;2089;1;"employed";"married";"secondary";"yes";"no";"success";"no"
305;40;12409;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
306;52;424;2;"unemployed";"married";"secondary";"no";"no";"failure";"no"
307;31;1186;1;"employed";"single";"secondary";"yes";"no";"failure";"no"
308;35;2801;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
309;32;2667;2;"employed";"single";"tertiary";"yes";"no";"success";"no"
310;30;382;1;"unemployed";"single";"secondary";"yes";"no";"failure";"no"
311;32;964;2;"unemployed";"married";"tertiary";"yes";"no";"failure";"no"
312;36;189;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
313;52;-201;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
314;45;644;1;"employed";"divorced";"secondary";"yes";"no";"success";"yes"
315;43;13044;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
316;35;771;2;"employed";"divorced";"tertiary";"yes";"yes";"failure";"no"
317;39;3494;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
318;49;6613;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
319;34;360;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
320;33;1234;1;"employed";"married";"secondary";"no";"no";"failure";"no"
321;45;1309;2;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
322;30;234;2;"employed";"single";"tertiary";"yes";"no";"failure";"no"
323;32;1611;2;"unemployed";"single";"tertiary";"yes";"no";"failure";"no"
324;40;2977;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
325;46;15;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
326;30;447;2;"employed";"single";"secondary";"no";"no";"failure";"no"
327;34;2490;1;"employed";"married";"primary";"yes";"no";"failure";"no"
328;46;2421;2;"employed";"married";"tertiary";"no";"no";"failure";"yes"
329;40;4608;1;"employed";"married";"primary";"yes";"no";"failure";"no"
330;53;1452;2;"unemployed";"married";"tertiary";"no";"yes";"failure";"no"
331;38;4030;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
332;32;18;1;"employed";"divorced";"secondary";"no";"no";"failure";"no"
333;40;260;2;"unemployed";"married";"secondary";"no";"no";"failure";"no"
334;35;538;2;"employed";"single";"tertiary";"yes";"yes";"failure";"no"
335;32;524;1;"employed";"married";"secondary";"no";"no";"failure";"no"
336;33;-103;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
337;33;201;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
338;39;1444;2;"employed";"married";"secondary";"no";"no";"success";"no"
339;44;1161;2;"employed";"married";"primary";"yes";"no";"failure";"no"
340;59;935;2;"employed";"married";"primary";"yes";"no";"failure";"no"
341;45;142;2;"employed";"single";"secondary";"no";"yes";"failure";"no"
342;37;1165;2;"employed";"married";"secondary";"yes";"no";"success";"no"
343;58;8218;2;"employed";"divorced";"primary";"yes";"no";"failure";"no"
344;42;3211;1;"employed";"married";"secondary";"no";"no";"failure";"no"
345;41;2184;2;"employed";"single";"secondary";"no";"no";"failure";"no"
346;40;0;1;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
347;43;6835;2;"employed";"divorced";"secondary";"no";"no";"failure";"no"
348;44;1195;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
349;58;630;1;"employed";"married";"primary";"yes";"no";"failure";"no"
350;43;1993;1;"employed";"married";"tertiary";"no";"no";"failure";"no"
351;58;590;1;"employed";"married";"secondary";"no";"yes";"failure";"no"
352;39;6012;2;"employed";"married";"secondary";"no";"no";"failure";"no"
353;52;7225;2;"employed";"married";"secondary";"no";"no";"failure";"no"
354;54;1323;2;"employed";"divorced";"tertiary";"no";"no";"failure";"no"
355;53;2818;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
356;48;-202;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
357;59;32948;2;"unemployed";"married";"secondary";"no";"no";"failure";"no"
358;33;2;1;"unemployed";"married";"secondary";"yes";"yes";"failure";"no"
359;44;2279;1;"employed";"divorced";"tertiary";"no";"yes";"failure";"no"
360;47;1939;1;"unemployed";"divorced";"secondary";"yes";"no";"failure";"no"
361;45;2926;2;"employed";"married";"secondary";"yes";"yes";"failure";"no"
362;42;783;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
363;30;1101;1;"employed";"married";"primary";"yes";"yes";"failure";"no"
364;59;2291;2;"unemployed";"married";"secondary";"no";"yes";"failure";"no"
365;46;8873;2;"unemployed";"married";"primary";"yes";"no";"failure";"no"
366;40;657;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
367;37;253;2;"employed";"married";"primary";"yes";"no";"failure";"no"
368;33;6138;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
369;55;3948;2;"unemployed";"married";"secondary";"no";"no";"failure";"no"
370;46;3354;1;"unemployed";"divorced";"secondary";"yes";"no";"success";"yes"
371;45;830;2;"employed";"married";"secondary";"no";"no";"failure";"no"
372;33;4;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
373;47;351;1;"unemployed";"married";"secondary";"yes";"yes";"failure";"no"
374;35;86;2;"employed";"married";"secondary";"no";"no";"failure";"no"
375;40;4853;2;"employed";"married";"secondary";"no";"no";"failure";"no"
376;38;884;2;"employed";"single";"secondary";"yes";"yes";"failure";"no"
377;59;741;2;"unemployed";"married";"primary";"no";"no";"failure";"no"
378;34;4958;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
379;46;1410;2;"unemployed";"single";"tertiary";"yes";"no";"failure";"no"
380;36;16430;2;"employed";"married";"tertiary";"yes";"no";"failure";"no"
381;52;1291;2;"employed";"divorced";"secondary";"yes";"no";"failure";"no"
382;57;5935;1;"employed";"married";"secondary";"yes";"yes";"failure";"no"
383;35;3187;1;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
